"icd","ccs","ccsdesc","icddesc","optccs","optccsdesc","icdvers"
"1408","11","Hd/nck cancr","MAL NEO LIP NEC",,,"ICD-9-CM"
"1409","11","Hd/nck cancr","MAL NEO LIP/VERMIL NOS",,,"ICD-9-CM"
"1410","11","Hd/nck cancr","MAL NEO TONGUE BASE",,,"ICD-9-CM"
"1411","11","Hd/nck cancr","MAL NEO DORSAL TONGUE",,,"ICD-9-CM"
"1412","11","Hd/nck cancr","MAL NEO TIP/LAT TONGUE",,,"ICD-9-CM"
"1413","11","Hd/nck cancr","MAL NEO VENTRAL TONGUE",,,"ICD-9-CM"
"1414","11","Hd/nck cancr","MAL NEO ANT 2/3 TONGUE",,,"ICD-9-CM"
"1415","11","Hd/nck cancr","MAL NEO TONGUE JUNCTION",,,"ICD-9-CM"
"1416","11","Hd/nck cancr","MAL NEO LINGUAL TONSIL",,,"ICD-9-CM"
"1418","11","Hd/nck cancr","MALIG NEO TONGUE NEC",,,"ICD-9-CM"
"1419","11","Hd/nck cancr","MALIG NEO TONGUE NOS",,,"ICD-9-CM"
"1420","11","Hd/nck cancr","MALIG NEO PAROTID",,,"ICD-9-CM"
"1421","11","Hd/nck cancr","MALIG NEO SUBMANDIBULAR",,,"ICD-9-CM"
"1422","11","Hd/nck cancr","MALIG NEO SUBLINGUAL",,,"ICD-9-CM"
"1428","11","Hd/nck cancr","MAL NEO MAJ SALIVARY NEC",,,"ICD-9-CM"
"1429","11","Hd/nck cancr","MAL NEO SALIVARY NOS",,,"ICD-9-CM"
"1430","11","Hd/nck cancr","MALIG NEO UPPER GUM",,,"ICD-9-CM"
"1431","11","Hd/nck cancr","MALIG NEO LOWER GUM",,,"ICD-9-CM"
"1438","11","Hd/nck cancr","MALIG NEO GUM NEC",,,"ICD-9-CM"
"1439","11","Hd/nck cancr","MALIG NEO GUM NOS",,,"ICD-9-CM"
"1440","11","Hd/nck cancr","MAL NEO ANT FLOOR MOUTH",,,"ICD-9-CM"
"1441","11","Hd/nck cancr","MAL NEO LAT FLOOR MOUTH",,,"ICD-9-CM"
"1448","11","Hd/nck cancr","MAL NEO MOUTH FLOOR NEC",,,"ICD-9-CM"
"1449","11","Hd/nck cancr","MAL NEO MOUTH FLOOR NOS",,,"ICD-9-CM"
"1450","11","Hd/nck cancr","MAL NEO CHEEK MUCOSA",,,"ICD-9-CM"
"1451","11","Hd/nck cancr","MAL NEO MOUTH VESTIBULE",,,"ICD-9-CM"
"1452","11","Hd/nck cancr","MALIG NEO HARD PALATE",,,"ICD-9-CM"
"1453","11","Hd/nck cancr","MALIG NEO SOFT PALATE",,,"ICD-9-CM"
"1454","11","Hd/nck cancr","MALIGNANT NEOPLASM UVULA",,,"ICD-9-CM"
"1455","11","Hd/nck cancr","MALIGNANT NEO PALATE NOS",,,"ICD-9-CM"
"1456","11","Hd/nck cancr","MALIG NEO RETROMOLAR",,,"ICD-9-CM"
"1458","11","Hd/nck cancr","MALIG NEOPLASM MOUTH NEC",,,"ICD-9-CM"
"1459","11","Hd/nck cancr","MALIG NEOPLASM MOUTH NOS",,,"ICD-9-CM"
"1460","11","Hd/nck cancr","MALIGNANT NEOPL TONSIL",,,"ICD-9-CM"
"1461","11","Hd/nck cancr","MAL NEO TONSILLAR FOSSA",,,"ICD-9-CM"
"1462","11","Hd/nck cancr","MAL NEO TONSIL PILLARS",,,"ICD-9-CM"
"1463","11","Hd/nck cancr","MALIGN NEOPL VALLECULA",,,"ICD-9-CM"
"1464","11","Hd/nck cancr","MAL NEO ANT EPIGLOTTIS",,,"ICD-9-CM"
"1465","11","Hd/nck cancr","MAL NEO EPIGLOTTIS JUNCT",,,"ICD-9-CM"
"1466","11","Hd/nck cancr","MAL NEO LAT OROPHARYNX",,,"ICD-9-CM"
"1467","11","Hd/nck cancr","MAL NEO POST OROPHARYNX",,,"ICD-9-CM"
"1468","11","Hd/nck cancr","MAL NEO OROPHARYNX NEC",,,"ICD-9-CM"
"1469","11","Hd/nck cancr","MALIG NEO OROPHARYNX NOS",,,"ICD-9-CM"
"1470","11","Hd/nck cancr","MAL NEO SUPER NASOPHARYN",,,"ICD-9-CM"
"1471","11","Hd/nck cancr","MAL NEO POST NASOPHARYNX",,,"ICD-9-CM"
"1472","11","Hd/nck cancr","MAL NEO LAT NASOPHARYNX",,,"ICD-9-CM"
"1473","11","Hd/nck cancr","MAL NEO ANT NASOPHARYNX",,,"ICD-9-CM"
"1478","11","Hd/nck cancr","MAL NEO NASOPHARYNX NEC",,,"ICD-9-CM"
"1479","11","Hd/nck cancr","MAL NEO NASOPHARYNX NOS",,,"ICD-9-CM"
"1480","11","Hd/nck cancr","MAL NEO POSTCRICOID",,,"ICD-9-CM"
"1481","11","Hd/nck cancr","MAL NEO PYRIFORM SINUS",,,"ICD-9-CM"
"1482","11","Hd/nck cancr","MAL NEO ARYEPIGLOTT FOLD",,,"ICD-9-CM"
"1483","11","Hd/nck cancr","MAL NEO POST HYPOPHARYNX",,,"ICD-9-CM"
"1488","11","Hd/nck cancr","MAL NEO HYPOPHARYNX NEC",,,"ICD-9-CM"
"1489","11","Hd/nck cancr","MAL NEO HYPOPHARYNX NOS",,,"ICD-9-CM"
"1490","11","Hd/nck cancr","MAL NEO PHARYNX NOS",,,"ICD-9-CM"
"1491","11","Hd/nck cancr","MAL NEO WALDEYER-S RING",,,"ICD-9-CM"
"1498","11","Hd/nck cancr","MAL NEO ORAL/PHARYNX NEC",,,"ICD-9-CM"
"1499","11","Hd/nck cancr","MAL NEO OROPHRYN ILL-DEF",,,"ICD-9-CM"
"1500","12","Esoph cancer","MAL NEO CERVICAL ESOPHAG",,,"ICD-9-CM"
"1501","12","Esoph cancer","MAL NEO THORACIC ESOPHAG",,,"ICD-9-CM"
"1502","12","Esoph cancer","MAL NEO ABDOMIN ESOPHAG",,,"ICD-9-CM"
"1503","12","Esoph cancer","MAL NEO UPPER 3RD ESOPH",,,"ICD-9-CM"
"1504","12","Esoph cancer","MAL NEO MIDDLE 3RD ESOPH",,,"ICD-9-CM"
"1505","12","Esoph cancer","MAL NEO LOWER 3RD ESOPH",,,"ICD-9-CM"
"1508","12","Esoph cancer","MAL NEO ESOPHAGUS NEC",,,"ICD-9-CM"
"1509","12","Esoph cancer","MAL NEO ESOPHAGUS NOS",,,"ICD-9-CM"
"1510","13","Stomch cancr","MAL NEO STOMACH CARDIA",,,"ICD-9-CM"
"1511","13","Stomch cancr","MALIGNANT NEO PYLORUS",,,"ICD-9-CM"
"1512","13","Stomch cancr","MAL NEO PYLORIC ANTRUM",,,"ICD-9-CM"
"1513","13","Stomch cancr","MAL NEO STOMACH FUNDUS",,,"ICD-9-CM"
"1514","13","Stomch cancr","MAL NEO STOMACH BODY",,,"ICD-9-CM"
"1515","13","Stomch cancr","MAL NEO STOM LESSER CURV",,,"ICD-9-CM"
"1516","13","Stomch cancr","MAL NEO STOM GREAT CURV",,,"ICD-9-CM"
"1518","13","Stomch cancr","MALIG NEOPL STOMACH NEC",,,"ICD-9-CM"
"1519","13","Stomch cancr","MALIG NEOPL STOMACH NOS",,,"ICD-9-CM"
"1520","18","GI/perit can","MALIGNANT NEOPL DUODENUM",,,"ICD-9-CM"
"1521","18","GI/perit can","MALIGNANT NEOPL JEJUNUM",,,"ICD-9-CM"
"1522","18","GI/perit can","MALIGNANT NEOPLASM ILEUM",,,"ICD-9-CM"
"1523","18","GI/perit can","MAL NEO MECKEL-S DIVERT",,,"ICD-9-CM"
"1528","18","GI/perit can","MAL NEO SMALL BOWEL NEC",,,"ICD-9-CM"
"1529","18","GI/perit can","MAL NEO SMALL BOWEL NOS",,,"ICD-9-CM"
"1530","14","Colon cancer","MAL NEO HEPATIC FLEXURE",,,"ICD-9-CM"
"1531","14","Colon cancer","MAL NEO TRANSVERSE COLON",,,"ICD-9-CM"
"1532","14","Colon cancer","MAL NEO DESCEND COLON",,,"ICD-9-CM"
"1533","14","Colon cancer","MAL NEO SIGMOID COLON",,,"ICD-9-CM"
"1534","14","Colon cancer","MALIGNANT NEOPLASM CECUM",,,"ICD-9-CM"
"1535","14","Colon cancer","MALIGNANT NEO APPENDIX",,,"ICD-9-CM"
"1536","14","Colon cancer","MALIG NEO ASCEND COLON",,,"ICD-9-CM"
"1537","14","Colon cancer","MAL NEO SPLENIC FLEXURE",,,"ICD-9-CM"
"1538","14","Colon cancer","MALIGNANT NEO COLON NEC",,,"ICD-9-CM"
"1539","14","Colon cancer","MALIGNANT NEO COLON NOS",,,"ICD-9-CM"
"1540","15","Rctm/anus ca","MAL NEO RECTOSIGMOID JCT",,,"ICD-9-CM"
"1541","15","Rctm/anus ca","MALIGNANT NEOPL RECTUM",,,"ICD-9-CM"
"1542","15","Rctm/anus ca","MALIG NEOPL ANAL CANAL",,,"ICD-9-CM"
"1543","15","Rctm/anus ca","MALIGNANT NEO ANUS NOS",,,"ICD-9-CM"
"1548","15","Rctm/anus ca","MAL NEO RECTUM/ANUS NEC",,,"ICD-9-CM"
"1550","16","Liver/ibd ca","MAL NEO LIVER- PRIMARY",,,"ICD-9-CM"
"1551","16","Liver/ibd ca","MAL NEO INTRAHEPAT DUCTS",,,"ICD-9-CM"
"1552","16","Liver/ibd ca","MALIGNANT NEO LIVER NOS",,,"ICD-9-CM"
"1560","18","GI/perit can","MALIG NEO GALLBLADDER",,,"ICD-9-CM"
"1561","18","GI/perit can","MAL NEO EXTRAHEPAT DUCTS",,,"ICD-9-CM"
"1562","18","GI/perit can","MAL NEO AMPULLA OF VATER",,,"ICD-9-CM"
"1568","18","GI/perit can","MALIG NEO BILIARY NEC",,,"ICD-9-CM"
"1569","18","GI/perit can","MALIG NEO BILIARY NOS",,,"ICD-9-CM"
"1570","17","Pancreas can","MAL NEO PANCREAS HEAD",,,"ICD-9-CM"
"1571","17","Pancreas can","MAL NEO PANCREAS BODY",,,"ICD-9-CM"
"1572","17","Pancreas can","MAL NEO PANCREAS TAIL",,,"ICD-9-CM"
"1573","17","Pancreas can","MAL NEO PANCREATIC DUCT",,,"ICD-9-CM"
"1574","17","Pancreas can","MAL NEO ISLET LANGERHANS",,,"ICD-9-CM"
"1578","17","Pancreas can","MALIG NEO PANCREAS NEC",,,"ICD-9-CM"
"1579","17","Pancreas can","MALIG NEO PANCREAS NOS",,,"ICD-9-CM"
"1580","18","GI/perit can","MAL NEO RETROPERITONEUM",,,"ICD-9-CM"
"1588","18","GI/perit can","MAL NEO PERITONEUM NEC",,,"ICD-9-CM"
"1589","18","GI/perit can","MAL NEO PERITONEUM NOS",,,"ICD-9-CM"
"1590","14","Colon cancer","MALIG NEO INTESTINE NOS",,,"ICD-9-CM"
"1591","18","GI/perit can","MALIGNANT NEO SPLEEN NEC",,,"ICD-9-CM"
"1598","18","GI/perit can","MAL NEO GI/INTRA-ABD NEC",,,"ICD-9-CM"
"1599","18","GI/perit can","MAL NEO GI TRACT ILL-DEF",,,"ICD-9-CM"
"1600","11","Hd/nck cancr","MAL NEO NASAL CAVITIES",,,"ICD-9-CM"
"1601","11","Hd/nck cancr","MALIG NEO MIDDLE EAR",,,"ICD-9-CM"
"1602","11","Hd/nck cancr","MAL NEO MAXILLARY SINUS",,,"ICD-9-CM"
"1603","11","Hd/nck cancr","MAL NEO ETHMOIDAL SINUS",,,"ICD-9-CM"
"1604","11","Hd/nck cancr","MALIG NEO FRONTAL SINUS",,,"ICD-9-CM"
"1605","11","Hd/nck cancr","MAL NEO SPHENOID SINUS",,,"ICD-9-CM"
"1608","11","Hd/nck cancr","MAL NEO ACCESS SINUS NEC",,,"ICD-9-CM"
"1609","11","Hd/nck cancr","MAL NEO ACCESS SINUS NOS",,,"ICD-9-CM"
"1610","11","Hd/nck cancr","MALIGNANT NEO GLOTTIS",,,"ICD-9-CM"
"1611","11","Hd/nck cancr","MALIG NEO SUPRAGLOTTIS",,,"ICD-9-CM"
"1612","11","Hd/nck cancr","MALIG NEO SUBGLOTTIS",,,"ICD-9-CM"
"1613","11","Hd/nck cancr","MAL NEO CARTILAGE LARYNX",,,"ICD-9-CM"
"1618","11","Hd/nck cancr","MALIGNANT NEO LARYNX NEC",,,"ICD-9-CM"
"1619","11","Hd/nck cancr","MALIGNANT NEO LARYNX NOS",,,"ICD-9-CM"
"1620","20","Ot respir ca","MALIGNANT NEO TRACHEA",,,"ICD-9-CM"
"1622","19","Brnch/lng ca","MALIG NEO MAIN BRONCHUS",,,"ICD-9-CM"
"1623","19","Brnch/lng ca","MAL NEO UPPER LOBE LUNG",,,"ICD-9-CM"
"1624","19","Brnch/lng ca","MAL NEO MIDDLE LOBE LUNG",,,"ICD-9-CM"
"1625","19","Brnch/lng ca","MAL NEO LOWER LOBE LUNG",,,"ICD-9-CM"
"1628","19","Brnch/lng ca","MAL NEO BRONCH/LUNG NEC",,,"ICD-9-CM"
"1629","19","Brnch/lng ca","MAL NEO BRONCH/LUNG NOS",,,"ICD-9-CM"
"1630","20","Ot respir ca","MAL NEO PARIETAL PLEURA",,,"ICD-9-CM"
"1631","20","Ot respir ca","MAL NEO VISCERAL PLEURA",,,"ICD-9-CM"
"1638","20","Ot respir ca","MALIG NEOPL PLEURA NEC",,,"ICD-9-CM"
"1639","20","Ot respir ca","MALIG NEOPL PLEURA NOS",,,"ICD-9-CM"
"1640","41","Ot primry ca","MALIGNANT NEOPL THYMUS",,,"ICD-9-CM"
"1641","41","Ot primry ca","MALIGNANT NEOPL HEART",,,"ICD-9-CM"
"1642","41","Ot primry ca","MAL NEO ANT MEDIASTINUM",,,"ICD-9-CM"
"1643","41","Ot primry ca","MAL NEO POST MEDIASTINUM",,,"ICD-9-CM"
"1648","41","Ot primry ca","MAL NEO MEDIASTINUM NEC",,,"ICD-9-CM"
"1649","41","Ot primry ca","MAL NEO MEDIASTINUM NOS",,,"ICD-9-CM"
"1650","20","Ot respir ca","MAL NEO UPPER RESP NOS",,,"ICD-9-CM"
"1658","20","Ot respir ca","MAL NEO THORAX/RESP NEC",,,"ICD-9-CM"
"1659","20","Ot respir ca","MAL NEO RESP SYSTEM NOS",,,"ICD-9-CM"
"1700","21","Bone/ct cncr","MAL NEO SKULL/FACE BONE",,,"ICD-9-CM"
"1701","21","Bone/ct cncr","MALIGNANT NEO MANDIBLE",,,"ICD-9-CM"
"1702","21","Bone/ct cncr","MALIG NEO VERTEBRAE",,,"ICD-9-CM"
"1703","21","Bone/ct cncr","MAL NEO RIBS/STERN/CLAV",,,"ICD-9-CM"
"1704","21","Bone/ct cncr","MAL NEO LONG BONES ARM",,,"ICD-9-CM"
"1705","21","Bone/ct cncr","MAL NEO BONES WRIST/HAND",,,"ICD-9-CM"
"1706","21","Bone/ct cncr","MAL NEO PELVIC GIRDLE",,,"ICD-9-CM"
"1707","21","Bone/ct cncr","MAL NEO LONG BONES LEG",,,"ICD-9-CM"
"1708","21","Bone/ct cncr","MAL NEO BONES ANKLE/FOOT",,,"ICD-9-CM"
"1709","21","Bone/ct cncr","MALIG NEOPL BONE NOS",,,"ICD-9-CM"
"1710","21","Bone/ct cncr","MAL NEO SOFT TISSUE HEAD",,,"ICD-9-CM"
"1712","21","Bone/ct cncr","MAL NEO SOFT TISSUE ARM",,,"ICD-9-CM"
"1713","21","Bone/ct cncr","MAL NEO SOFT TISSUE LEG",,,"ICD-9-CM"
"1714","21","Bone/ct cncr","MAL NEO SOFT TIS THORAX",,,"ICD-9-CM"
"1715","21","Bone/ct cncr","MAL NEO SOFT TIS ABDOMEN",,,"ICD-9-CM"
"1716","21","Bone/ct cncr","MAL NEO SOFT TIS PELVIS",,,"ICD-9-CM"
"1717","21","Bone/ct cncr","MAL NEOPL TRUNK NOS",,,"ICD-9-CM"
"1718","21","Bone/ct cncr","MAL NEO SOFT TISSUE NEC",,,"ICD-9-CM"
"1719","21","Bone/ct cncr","MAL NEO SOFT TISSUE NOS",,,"ICD-9-CM"
"1720","22","Skin melanom","MALIG MELANOMA LIP",,,"ICD-9-CM"
"1721","22","Skin melanom","MALIG MELANOMA EYELID",,,"ICD-9-CM"
"1722","22","Skin melanom","MALIG MELANOMA EAR",,,"ICD-9-CM"
"1723","22","Skin melanom","MAL MELANOM FACE NEC/NOS",,,"ICD-9-CM"
"1724","22","Skin melanom","MAL MELANOMA SCALP/NECK",,,"ICD-9-CM"
"1725","22","Skin melanom","MALIG MELANOMA TRUNK",,,"ICD-9-CM"
"1726","22","Skin melanom","MALIG MELANOMA ARM",,,"ICD-9-CM"
"1727","22","Skin melanom","MALIG MELANOMA LEG",,,"ICD-9-CM"
"1728","22","Skin melanom","MALIG MELANOMA SKIN NEC",,,"ICD-9-CM"
"1729","22","Skin melanom","MALIG MELANOMA SKIN NOS",,,"ICD-9-CM"
"1730","23","Non-epith ca","MALIG NEO SKIN LIP (end 2011)",,,"ICD-9-CM"
"17300","23","Non-epith ca","Malig neopl skin lip NOS (Begin 2011)",,,"ICD-9-CM"
"17301","23","Non-epith ca","Basal cell ca skin lip (Begin 2011)",,,"ICD-9-CM"
"17302","23","Non-epith ca","Squamous cell ca skn lip (Begin 2011)",,,"ICD-9-CM"
"17309","23","Non-epith ca","Malig neo skin lip NEC (Begin 2011)",,,"ICD-9-CM"
"1731","23","Non-epith ca","MALIG NEO SKIN EYELID (end 2011)",,,"ICD-9-CM"
"17310","23","Non-epith ca","Mal neo eyelid/canth NOS (Begin 2011)",,,"ICD-9-CM"
"17311","23","Non-epith ca","Basal cell ca lid/canth (Begin 2011)",,,"ICD-9-CM"
"17312","23","Non-epith ca","Squam cell ca lid/canth (Begin 2011)",,,"ICD-9-CM"
"17319","23","Non-epith ca","Mal neo eyelid/canth NEC (Begin 2011)",,,"ICD-9-CM"
"1732","23","Non-epith ca","MALIG NEO SKIN EAR (end 2011)",,,"ICD-9-CM"
"17320","23","Non-epith ca","Malig neo skin ear NOS (Begin 2011)",,,"ICD-9-CM"
"17321","23","Non-epith ca","Basal cell ca skin ear (Begin 2011)",,,"ICD-9-CM"
"17322","23","Non-epith ca","Squam cell ca skin ear (Begin 2011)",,,"ICD-9-CM"
"17329","23","Non-epith ca","Neo skin ear/ex canl NEC (Begin 2011)",,,"ICD-9-CM"
"1733","23","Non-epith ca","MAL NEO SKIN FACE NEC (end 2011)",,,"ICD-9-CM"
"17330","23","Non-epith ca","Mal neo skn face NEC/NOS (Begin 2011)",,,"ICD-9-CM"
"17331","23","Non-epith ca","Bsl cel skn face NEC/NOS (Begin 2011)",,,"ICD-9-CM"
"17332","23","Non-epith ca","Sqm cel skn face NEC/NOS (Begin 2011)",,,"ICD-9-CM"
"17339","23","Non-epith ca","Mal neo skn face NEC/NOS (Begin 2011)",,,"ICD-9-CM"
"1734","23","Non-epith ca","MAL NEO SCALP/SKIN NECK (end 2011)",,,"ICD-9-CM"
"17340","23","Non-epith ca","Mal neo sclp/skn nck NOS (Begin 2011)",,,"ICD-9-CM"
"17341","23","Non-epith ca","Bsl cell ca scalp/skn nk (Begin 2011)",,,"ICD-9-CM"
"17342","23","Non-epith ca","Sqam cell ca sclp/skn nk (Begin 2011)",,,"ICD-9-CM"
"17349","23","Non-epith ca","Mal neo sclp/skn nck NEC (Begin 2011)",,,"ICD-9-CM"
"1735","23","Non-epith ca","MALIG NEO SKIN TRUNK (end 2011)",,,"ICD-9-CM"
"17350","23","Non-epith ca","Malig neo skin trunk NOS (Begin 2011)",,,"ICD-9-CM"
"17351","23","Non-epith ca","Basal cell ca skin trunk (Begin 2011)",,,"ICD-9-CM"
"17352","23","Non-epith ca","Squam cell ca skin trunk (Begin 2011)",,,"ICD-9-CM"
"17359","23","Non-epith ca","Malig neo skin trunk NEC (Begin 2011)",,,"ICD-9-CM"
"1736","23","Non-epith ca","MALIG NEO SKIN ARM (end 2011)",,,"ICD-9-CM"
"17360","23","Non-epith ca","Mal neo skin up limb NOS (Begin 2011)",,,"ICD-9-CM"
"17361","23","Non-epith ca","Basal cell ca skn up lmb (Begin 2011)",,,"ICD-9-CM"
"17362","23","Non-epith ca","Squam cell ca skn up lmb (Begin 2011)",,,"ICD-9-CM"
"17369","23","Non-epith ca","Malig neo skn up lmb NEC (Begin 2011)",,,"ICD-9-CM"
"1737","23","Non-epith ca","MALIG NEO SKIN LEG (end 2011)",,,"ICD-9-CM"
"17370","23","Non-epith ca","Mal neo skn low limb NOS (Begin 2011)",,,"ICD-9-CM"
"17371","23","Non-epith ca","Basl cell ca skn low lmb (Begin 2011)",,,"ICD-9-CM"
"17372","23","Non-epith ca","Sqam cell ca skn low lmb (Begin 2011)",,,"ICD-9-CM"
"17379","23","Non-epith ca","Mal neo skin low lmb NEC (Begin 2011)",,,"ICD-9-CM"
"1738","23","Non-epith ca","MALIG NEO SKIN NEC (end 2011)",,,"ICD-9-CM"
"17380","23","Non-epith ca","Mal neo skn site NEC/NOS (Begin 2011)",,,"ICD-9-CM"
"17381","23","Non-epith ca","Bsl cell ca skn site NEC (Begin 2011)",,,"ICD-9-CM"
"17382","23","Non-epith ca","Sqm cell ca skn site NEC (Begin 2011)",,,"ICD-9-CM"
"17389","23","Non-epith ca","Oth mal neo skn site NEC (Begin 2011)",,,"ICD-9-CM"
"1739","23","Non-epith ca","MALIG NEO SKIN NOS (end 2011)",,,"ICD-9-CM"
"17390","23","Non-epith ca","Malig neo skin site NOS (Begin 2011)",,,"ICD-9-CM"
"17391","23","Non-epith ca","Basal cell ca skin NOS (Begin 2011)",,,"ICD-9-CM"
"17392","23","Non-epith ca","Squam cell ca skin NOS (Begin 2011)",,,"ICD-9-CM"
"17399","23","Non-epith ca","Oth mal neo skn site NOS (Begin 2011)",,,"ICD-9-CM"
"1740","24","Breast cancr","MALIG NEO NIPPLE",,,"ICD-9-CM"
"1741","24","Breast cancr","MAL NEO BREAST-CENTRAL",,,"ICD-9-CM"
"1742","24","Breast cancr","MAL NEO BREAST UP-INNER",,,"ICD-9-CM"
"1743","24","Breast cancr","MAL NEO BREAST LOW-INNER",,,"ICD-9-CM"
"1744","24","Breast cancr","MAL NEO BREAST UP-OUTER",,,"ICD-9-CM"
"1745","24","Breast cancr","MAL NEO BREAST LOW-OUTER",,,"ICD-9-CM"
"1746","24","Breast cancr","MAL NEO BREAST-AXILLARY",,,"ICD-9-CM"
"1748","24","Breast cancr","MALIGN NEOPL BREAST NEC",,,"ICD-9-CM"
"1749","24","Breast cancr","MALIGN NEOPL BREAST NOS",,,"ICD-9-CM"
"1750","24","Breast cancr","MAL NEO MALE NIPPLE",,,"ICD-9-CM"
"1759","24","Breast cancr","MAL NEO MALE BREAST NEC",,,"ICD-9-CM"
"1760","41","Ot primry ca","SKIN - KAPOSI-S SARCOMA (Begin 1991)",,,"ICD-9-CM"
"1761","41","Ot primry ca","SFT TISUE - KPSI-S SRCMA (Begin 1991)",,,"ICD-9-CM"
"1762","41","Ot primry ca","PALATE - KPSI-S SARCOMA (Begin 1991)",,,"ICD-9-CM"
"1763","41","Ot primry ca","GI SITES - KPSI-S SRCOMA (Begin 1991)",,,"ICD-9-CM"
"1764","41","Ot primry ca","LUNG - KAPOSI-S SARCOMA (Begin 1991)",,,"ICD-9-CM"
"1765","41","Ot primry ca","LYM NDS - KPSI-S SARCOMA (Begin 1991)",,,"ICD-9-CM"
"1768","41","Ot primry ca","SPF STS - KPSI-S SARCOMA (Begin 1991)",,,"ICD-9-CM"
"1769","41","Ot primry ca","KAPOSI-S SARCOMA NOS (Begin 1991)",,,"ICD-9-CM"
"179","25","Uterus cancr","MALIG NEOPL UTERUS NOS",,,"ICD-9-CM"
"1800","26","Cervix cancr","MALIG NEO ENDOCERVIX",,,"ICD-9-CM"
"1801","26","Cervix cancr","MALIG NEO EXOCERVIX",,,"ICD-9-CM"
"1808","26","Cervix cancr","MALIG NEO CERVIX NEC",,,"ICD-9-CM"
"1809","26","Cervix cancr","MAL NEO CERVIX UTERI NOS",,,"ICD-9-CM"
"181","28","Fem genit ca","MALIGNANT NEOPL PLACENTA",,,"ICD-9-CM"
"1820","25","Uterus cancr","MALIG NEO CORPUS UTERI",,,"ICD-9-CM"
"1821","25","Uterus cancr","MAL NEO UTERINE ISTHMUS",,,"ICD-9-CM"
"1828","25","Uterus cancr","MAL NEO BODY UTERUS NEC",,,"ICD-9-CM"
"1830","27","Ovary cancer","MALIGN NEOPL OVARY",,,"ICD-9-CM"
"1832","28","Fem genit ca","MAL NEO FALLOPIAN TUBE",,,"ICD-9-CM"
"1833","28","Fem genit ca","MAL NEO BROAD LIGAMENT",,,"ICD-9-CM"
"1834","28","Fem genit ca","MALIG NEO PARAMETRIUM",,,"ICD-9-CM"
"1835","28","Fem genit ca","MAL NEO ROUND LIGAMENT",,,"ICD-9-CM"
"1838","28","Fem genit ca","MAL NEO ADNEXA NEC",,,"ICD-9-CM"
"1839","28","Fem genit ca","MAL NEO ADNEXA NOS",,,"ICD-9-CM"
"1840","28","Fem genit ca","MALIGN NEOPL VAGINA",,,"ICD-9-CM"
"1841","28","Fem genit ca","MAL NEO LABIA MAJORA",,,"ICD-9-CM"
"1842","28","Fem genit ca","MAL NEO LABIA MINORA",,,"ICD-9-CM"
"1843","28","Fem genit ca","MALIGN NEOPL CLITORIS",,,"ICD-9-CM"
"1844","28","Fem genit ca","MALIGN NEOPL VULVA NOS",,,"ICD-9-CM"
"1848","28","Fem genit ca","MAL NEO FEMALE GENIT NEC",,,"ICD-9-CM"
"1849","28","Fem genit ca","MAL NEO FEMALE GENIT NOS",,,"ICD-9-CM"
"185","29","Prostate can","MALIGN NEOPL PROSTATE",,,"ICD-9-CM"
"1860","30","Testis cancr","MAL NEO UNDESCEND TESTIS",,,"ICD-9-CM"
"1869","30","Testis cancr","MALIG NEO TESTIS NEC",,,"ICD-9-CM"
"1871","31","Mal genit ca","MALIGN NEOPL PREPUCE",,,"ICD-9-CM"
"1872","31","Mal genit ca","MALIG NEO GLANS PENIS",,,"ICD-9-CM"
"1873","31","Mal genit ca","MALIG NEO PENIS BODY",,,"ICD-9-CM"
"1874","31","Mal genit ca","MALIG NEO PENIS NOS",,,"ICD-9-CM"
"1875","31","Mal genit ca","MALIG NEO EPIDIDYMIS",,,"ICD-9-CM"
"1876","31","Mal genit ca","MAL NEO SPERMATIC CORD",,,"ICD-9-CM"
"1877","31","Mal genit ca","MALIGN NEOPL SCROTUM",,,"ICD-9-CM"
"1878","31","Mal genit ca","MAL NEO MALE GENITAL NEC",,,"ICD-9-CM"
"1879","31","Mal genit ca","MAL NEO MALE GENITAL NOS",,,"ICD-9-CM"
"1880","32","Bladder cncr","MAL NEO BLADDER-TRIGONE",,,"ICD-9-CM"
"1881","32","Bladder cncr","MAL NEO BLADDER-DOME",,,"ICD-9-CM"
"1882","32","Bladder cncr","MAL NEO BLADDER-LATERAL",,,"ICD-9-CM"
"1883","32","Bladder cncr","MAL NEO BLADDER-ANTERIOR",,,"ICD-9-CM"
"1884","32","Bladder cncr","MAL NEO BLADDER-POST",,,"ICD-9-CM"
"1885","32","Bladder cncr","MAL NEO BLADDER NECK",,,"ICD-9-CM"
"1886","32","Bladder cncr","MAL NEO URETERIC ORIFICE",,,"ICD-9-CM"
"1887","32","Bladder cncr","MALIG NEO URACHUS",,,"ICD-9-CM"
"1888","32","Bladder cncr","MALIG NEO BLADDER NEC",,,"ICD-9-CM"
"1889","32","Bladder cncr","MALIG NEO BLADDER NOS",,,"ICD-9-CM"
"1890","33","Kidny/rnl ca","MALIG NEOPL KIDNEY",,,"ICD-9-CM"
"1891","33","Kidny/rnl ca","MALIG NEO RENAL PELVIS",,,"ICD-9-CM"
"1892","34","Uriny org ca","MALIGN NEOPL URETER",,,"ICD-9-CM"
"1893","34","Uriny org ca","MALIGN NEOPL URETHRA",,,"ICD-9-CM"
"1894","34","Uriny org ca","MAL NEO PARAURETHRAL",,,"ICD-9-CM"
